nodes	w	graph	threads_per_node	exit_code	time_s	expansions	cost
4	1	n1e10_sparse	32	124	NA	NA	NA
4	1	n1e10_sparse	128	124	NA	NA	NA
4	3	n1e10_sparse	1	0	0.128671	350759	199998
4	3	n1e10_sparse	2	0	0.145799	350759	199998
4	3	n1e10_sparse	32	0	0.149942	350759	199998
4	3	n1e10_sparse	128	0	0.171648	350759	199998
4	5	n1e10_sparse	1	0	0.128972	350759	199998
4	5	n1e10_sparse	2	0	0.138464	350759	199998
4	5	n1e10_sparse	32	0	0.151035	350759	199998
4	5	n1e10_sparse	128	0	0.171506	350759	199998
1	1	n1e10_dense	1	0	0.055446	99999	141419.942024
1	1	n1e10_dense	2	0	0.051972	99999	141419.942024
1	1	n1e10_dense	32	0	0.054655	99999	141419.942024
1	1	n1e10_dense	128	0	0.052287	99999	141419.942024
1	3	n1e10_dense	1	0	0.055366	99999	141419.942024
1	3	n1e10_dense	2	0	0.056277	99999	141419.942024
1	3	n1e10_dense	32	0	0.056021	99999	141419.942024
1	3	n1e10_dense	128	0	0.063892	99999	141419.942024
1	5	n1e10_dense	1	0	0.058039	99999	141419.942024
1	5	n1e10_dense	2	0	0.057241	99999	141419.942024
1	5	n1e10_dense	32	0	0.056372	99999	141419.942024
1	5	n1e10_dense	128	0	0.063568	99999	141419.942024
2	1	n1e10_dense	1	0	0.085039	150095	141419.942024
2	1	n1e10_dense	2	0	0.088425	150095	141419.942024
2	1	n1e10_dense	32	0	0.090595	150095	141419.942024
2	1	n1e10_dense	128	0	0.096919	150095	141419.942024
2	3	n1e10_dense	1	0	0.108128	150095	141448.059773
2	3	n1e10_dense	2	0	0.130282	150095	141448.059773
2	3	n1e10_dense	32	0	0.243940	150095	141448.059773
2	3	n1e10_dense	128	0	0.378061	150095	141448.059773
2	5	n1e10_dense	1	0	0.108050	150095	141448.059773
2	5	n1e10_dense	2	0	0.133895	150095	141448.059773
2	5	n1e10_dense	32	0	0.242648	150095	141448.059773
