stamp	nodes	mpi_ranks	omp_threads	time_s	expansions	cost	rc	line
2026-05-11T21:31:00-07:00	1	1	8	297.078655	10905493	0.559949941671	0	cost=0.559949941671 w_astar=1 expansions=10905493 time_s=297.078655 ranks=1 threads=8
2026-05-11T21:31:00-07:00	2	2	8	165.613366	10906368	0.559949941671	0	cost=0.559949941671 w_astar=1 expansions=10906368 time_s=165.613366 ranks=2 threads=8
