graph	config	time_s	expansions	cost
uniform_8way	serial	0.607022	1000000	1041419.94202
uniform_8way	mpi_256x1	2.894544	130531266	1042324.39628
uniform_8way	mpi_128x2	2.108661	65519492	1042288.07752
uniform_8way	mpi_64x4	1.624793	32747400	1041838.19354
uniform_8way	mpi_32x8	1.480026	16557969	1041613.25155
uniform_8way	mpi_16x16	1.328327	8512419	1041473.83438
urban	serial	0.679015	809459	913094.255997
urban	mpi_256x1	2.168079	105295586	915234.16906
urban	mpi_128x2	1.618311	52803002	913298.366604
urban	mpi_64x4	1.326824	26490732	913283.798061
urban	mpi_32x8	1.095497	13420370	913253.739187
urban	mpi_16x16	0.964625	6901346	913247.496546
campus	serial	0.450070	400329	509193.415823
campus	mpi_256x1	3.009137	54738844	519502.798891
campus	mpi_128x2	2.039469	26419135	513114.237404
campus	mpi_64x4	1.409487	13051512	509735.767844
campus	mpi_32x8	1.099837	6623220	509700.630759
campus	mpi_16x16	0.970517	3411943	509727.968854
elongated_metro	serial	0.773673	1012477	1123465.24058
elongated_metro	mpi_256x1	2.349544	131374709	1124572.69816
elongated_metro	mpi_128x2	1.841680	65674859	1124585.42608
elongated_metro	mpi_64x4	1.461066	33028424	1123888.54297
elongated_metro	mpi_32x8	1.299256	16761140	1123584.4395
elongated_metro	mpi_16x16	1.090532	8626317	1123555.50047
regional_4way	serial	0.592916	1099999	1099998
regional_4way	mpi_256x1	4.746680	130631234	1099998
regional_4way	mpi_128x2	3.066704	65619460	1099998
regional_4way	mpi_64x4	2.020665	32847368	1099998
regional_4way	mpi_32x8	1.371926	16657937	1099998
regional_4way	mpi_16x16	1.070315	8612387	1099998
dense_urban	serial	0.763960	818991	935105.390827
dense_urban	mpi_256x1	2.415719	108535980	936958.067525
dense_urban	mpi_128x2	1.750788	53771819	936480.137726
dense_urban	mpi_64x4	1.337771	26861620	935614.276903
dense_urban	mpi_32x8	1.148225	13595721	935389.17849
dense_urban	mpi_16x16	1.014545	6991228	935194.822285
