stamp	config	nodes	mpi_ranks	omp_threads	time_s	expansions	cost	rc	line
2026-05-07T17:49:09-07:00	serial_1x1	1	0	1	330.593552	10905494	0.559949941671	0	cost=0.559949941671 w_astar=1 expansions=10905494 time_s=330.593552 n=1000000000
2026-05-07T17:49:09-07:00	mpi_1n1r8t	1	1	8	294.940210	10905493	0.559949941671	0	cost=0.559949941671 w_astar=1 expansions=10905493 time_s=294.940210 ranks=1 threads=8
2026-05-07T17:49:09-07:00	mpi_2n2r1t	2	2	1	137.784069	10906240	0.559949941671	0	cost=0.559949941671 w_astar=1 expansions=10906240 time_s=137.784069 ranks=2 threads=1
2026-05-07T17:49:09-07:00	mpi_2n2r8t	2	2	8	161.110761	10906240	0.559949941671	0	cost=0.559949941671 w_astar=1 expansions=10906240 time_s=161.110761 ranks=2 threads=8
